,,0
73,Country,Ethiopia
73,Country Code,ETH
73,1960,22151284
73,1964,24397010
73,1968,26944386
73,1972,30140799
73,1976,33128151
73,1980,35141703
73,1984,39374346
73,1988,44757205
73,1992,51423591
73,1996,58883531
73,2000,66224809
73,2004,74239508
73,2008,82916236
73,2012,92726982
73,2016,103603461
73,2020,114963583
74,Country,Euro area
74,Country Code,EMU
74,1960,265203956
74,1964,275163380
74,1968,283866408
74,1972,290874612
74,1976,297251532
74,1980,302184216
74,1984,305299144
74,1988,308516476
74,1992,314162056
74,1996,318003013
74,2000,321310789
74,2004,327682513
74,2008,334274725
74,2012,336159199
74,2016,340481755
74,2020,342949773
75,Country,Europe & Central Asia
75,Country Code,ECS
75,1960,666753356
75,1964,698355574
75,1968,725725300
75,1972,749283635
75,1976,772129341
75,1980,793299463
75,1984,812662217
75,1988,832553390
75,1992,848877909
75,1996,856857233
75,2000,861278544
75,2004,868808153
75,2008,880932055
75,2012,893786694
75,2016,910910900
75,2020,923489941
76,Country,Europe & Central Asia (excluding high income)
76,Country Code,ECA
76,1960,274647228
76,1964,291878870
76,1968,306934517
76,1972,320945150
76,1976,335100864
76,1980,349436199
76,1984,363975241
76,1988,378837514
76,1992,388125580
76,1996,390932358
76,2000,391586634
76,2004,391535458
76,2008,394392601
76,2012,402565848
76,2016,412578888
76,2020,420249459
77,Country,Europe & Central Asia (IDA & IBRD countries)
77,Country Code,TEC
77,1960,308424859
77,1964,327271196
77,1968,343594800
77,1972,358451364
77,1976,373993098
77,1980,389610131
77,1984,405559660
77,1988,421417208
77,1992,431065065
77,1996,434113825
77,2000,434313565
77,2004,434022280
77,2008,436828065
77,2012,444896570
77,2016,454723324
77,2020,462247461
78,Country,European Union
78,Country Code,EUU
78,1960,356906098
78,1964,369850237
78,1968,381605442
78,1972,390995000
78,1976,400473497
78,1980,407875838
78,1984,412931321
78,1988,417653046
78,1992,422963890
78,1996,426896861
78,2000,429328622
78,2004,434040244
78,2008,439876674
78,2012,441395937
78,2016,445487730
78,2020,447794691
79,Country,Faroe Islands
79,Country Code,FRO
79,1960,34624
79,1964,36409
79,1968,38131
79,1972,39915
79,1976,41724
79,1980,43339
79,1984,44895
79,1988,46833
79,1992,46746
79,1996,45624
79,2000,46738
79,2004,47600
79,2008,47822
79,2012,47843
79,2016,48173
79,2020,48865
80,Country,Fiji
80,Country Code,FJI
80,1960,393480
80,1964,450538
80,1968,498944
80,1972,542843
80,1976,587561
80,1980,635312
80,1984,700478
80,1988,722924
80,1992,744470
80,1996,784389
80,2000,811011
80,2004,817864
80,2008,845356
80,2012,865065
80,2016,872406
80,2020,896444
81,Country,Finland
81,Country Code,FIN
81,1960,4429634
81,1964,4548543
81,1968,4626469
81,1972,4639657
81,1976,4725664
81,1980,4779535
81,1984,4881803
81,1988,4946481
81,1992,5041992
81,1996,5124573
81,2000,5176209
81,2004,5228172
81,2008,5313399
81,2012,5413971
81,2016,5495303
81,2020,5530719
82,Country,Fragile and conflict affected situations
82,Country Code,FCS
82,1960,208280083
82,1964,228670583
82,1968,252116419
82,1972,278767597
82,1976,309196463
82,1980,343334222
82,1984,378570396
82,1988,416947257
82,1992,466482751
82,1996,520303326
82,2000,572303917
82,2004,633460044
82,2008,700030438
82,2012,772742559
82,2016,849739853
82,2020,930006546
83,Country,France
83,Country Code,FRA
83,1960,46621688
83,1964,49230585
83,1968,51175507
83,1972,52793151
83,1976,54220033
83,1980,55161510
83,1984,56337675
83,1988,57627106
83,1992,58851216
83,1996,59753095
83,2000,60912500
83,2004,62704901
83,2008,64374979
83,2012,65659814
83,2016,66724104
83,2020,67391582
84,Country,French Polynesia
84,Country Code,PYF
84,1960,78080
84,1964,90132
84,1968,103329
84,1972,118438
84,1976,135559
84,1980,153298
84,1984,172249
84,1988,191260
84,1992,207238
84,1996,222323
84,2000,240681
84,2004,255995
84,2008,264064
84,2012,268995
84,2016,274576
84,2020,280904
85,Country,Gabon
85,Country Code,GAB
85,1960,500922
85,1964,524891
85,1968,565763
85,1972,611705
85,1976,661398
85,1980,726335
85,1984,805117
85,1988,898472
