,Year,Host_City,Host_Country,Country,Country_Code,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,P_TotalPer10MPop,Continent
363,1992,Barcelona,Spain,Oman,OMA,0,0,0,0,4,0,4,1983272,20.17,Asia
364,1992,Barcelona,Spain,Pakistan,PAK,0,0,0,0,2,0,2,113911126,0.18,Asia
365,1992,Barcelona,Spain,Panama,PAN,1,2,0,3,2,0,2,2575949,7.76,North America
366,1992,Barcelona,Spain,Poland,POL,10,12,10,32,36,4,40,38363667,10.43,Europe
367,1992,Barcelona,Spain,Portugal,POR,3,3,3,9,26,4,30,9952494,30.14,Europe
368,1992,Barcelona,Spain,Puerto Rico,PUR,0,0,0,0,8,1,9,3585176,25.1,North America
369,1992,Barcelona,Spain,Seychelles,SEY,0,0,0,0,2,0,2,70763,282.63,Africa
370,1992,Barcelona,Spain,Singapore,SGP,0,0,0,0,3,1,4,3230698,12.38,Asia
371,1992,Barcelona,Spain,Slovenia,SLO,2,0,1,3,7,1,8,1996498,40.07,Europe
372,1992,Barcelona,Spain,South Africa,RSA,4,1,3,8,9,1,10,38672611,2.59,Africa
373,1992,Barcelona,Spain,Spain,ESP,34,31,42,107,167,66,233,39157685,59.5,Europe
374,1992,Barcelona,Spain,Sweden,SWE,7,22,9,38,72,27,99,8668067,114.21,Europe
375,1992,Barcelona,Spain,Switzerland,SUI,6,16,13,35,36,5,41,6875364,59.63,Europe
376,1992,Barcelona,Spain,Syrian Arab Republic,SYR,0,0,0,0,2,0,2,13187669,1.52,Asia
377,1992,Barcelona,Spain,Tanzania,TAN,0,0,0,0,1,0,1,,,Africa
378,1992,Barcelona,Spain,Thailand,THA,0,0,1,1,5,0,5,57811025,0.86,Asia
379,1992,Barcelona,Spain,Tunisia,TUN,0,0,0,0,1,0,1,8613855,1.16,Africa
380,1992,Barcelona,Spain,Turkey,TUR,0,0,0,0,1,0,1,55748946,0.18,Europe
381,1992,Barcelona,Spain,Unified Team,EUN,16,14,15,45,50,11,61,,,Europe
382,1992,Barcelona,Spain,United Arab Emirates,UAE,0,0,0,0,1,0,1,2052892,4.87,Asia
383,1992,Barcelona,Spain,United States of America,USA,75,52,48,175,264,90,354,256514000,13.8,North America
384,1992,Barcelona,Spain,Uruguay,URU,0,0,0,0,2,0,2,3154459,6.34,South America
385,1992,Barcelona,Spain,Venezuela,VEN,0,0,1,1,9,1,10,20557694,4.86,South America
386,1992,Barcelona,Spain,Yemen,YEM,0,0,0,0,3,0,3,12954157,2.32,Asia
387,1996,Atlanta,United States of America,Afghanistan,AFG,0,0,0,0,2,0,2,18853444,1.06,Asia
388,1996,Atlanta,United States of America,Algeria,ALG,2,2,3,7,9,0,9,29266415,3.08,Africa
389,1996,Atlanta,United States of America,Angola,ANG,0,0,0,0,2,0,2,14400722,1.39,Africa
390,1996,Atlanta,United States of America,Argentina,ARG,2,5,2,9,49,7,56,35246376,15.89,South America
391,1996,Atlanta,United States of America,Armenia,ARM,0,0,0,0,5,0,5,3168213,15.78,Europe
392,1996,Atlanta,United States of America,Australia,AUS,42,37,27,106,99,62,161,18311000,87.93,Oceania
393,1996,Atlanta,United States of America,Austria,AUT,6,6,10,22,44,5,49,7959017,61.57,Europe
394,1996,Atlanta,United States of America,Azerbaijan,AZE,0,0,0,0,2,0,2,7763000,2.58,Europe
395,1996,Atlanta,United States of America,Bahrain,BRN,0,0,0,0,6,0,6,578661,103.69,Asia
396,1996,Atlanta,United States of America,Belarus,BLR,3,3,7,13,11,4,15,10160000,14.76,Europe
397,1996,Atlanta,United States of America,Belgium,BEL,8,10,7,25,32,6,38,10156637,37.41,Europe
398,1996,Atlanta,United States of America,Bermuda,BER,0,0,0,0,0,2,2,60129,332.62,North America
399,1996,Atlanta,United States of America,Bosnia and Herzegovina,BIH,0,0,0,0,3,0,3,3764419,7.97,Europe
400,1996,Atlanta,United States of America,Brazil,BRA,2,6,13,21,41,19,60,164614682,3.64,South America
401,1996,Atlanta,United States of America,Bulgaria,BUL,0,1,1,2,4,2,6,8362826,7.17,Europe
402,1996,Atlanta,United States of America,Burkina Faso,BUR,0,0,0,0,3,0,3,10372734,2.89,Africa
403,1996,Atlanta,United States of America,Canada,CAN,24,21,24,69,94,38,132,29610218,44.58,North America
404,1996,Atlanta,United States of America,Chile,CHI,0,0,0,0,2,0,2,14587367,1.37,South America
405,1996,Atlanta,United States of America,People's Republic of China,CHN,16,13,10,39,27,10,37,1217550000,0.3,Asia
406,1996,Atlanta,United States of America,Chinese Taipei,TPE,1,0,2,3,13,1,14,,,Asia
